MEX2: Luis Malagón
NOR5: Kristoffer Ajer
NOR6: Marcus Holmgren Pedersen
NOR7: David Møller Wolfe
NOR8: Torbjørn Heggem
NOR9: Morten Thorsby
NOR10: Martin Ødegaard
NOR11: Sander Berge
NOR12: Andreas Schjelderup
NOR14: Patrick Berg
NOR15: Erling Haaland
NOR16: Alexander Sørloth
NOR17: Aron Dønnum
NOR18: Jørgen Strand Larsen
NOR19: Antonio Nusa
NOR20: Oscar Bobb
ARG2: Emiliano Martínez
ARG3: Nahuel Molina
ARG4: Cristian Romero
ARG5: Nicolás Otamendi
ARG6: Nicolás Tagliafico
ARG7: Leonardo Balerdi
ARG8: Enzo Fernández
ARG9: Alexis Mac Allister
ARG10: Rodrigo De Paul
ARG11: Exequiel Palacios
ARG12: Leandro Paredes
ARG14: Nico Paz
ARG15: Franco Mastantuono
ARG16: Nico González
ARG17: Lionel Messi
ARG18: Lautaro Martínez
ARG19: Julián Álvarez
ARG20: Giuliano Simeone
DZA2: Alexis Guendouz
DZA3: Ramy Bensebaini
DZA4: Youcef Atal
DZA5: Rayan Aït-Nouri
DZA6: Mohamed Amine Tougai
DZA7: Aïssa Mandi
DZA8: Ismael Bennacer
DZA9: Houssem Aouar
DZA10: Hicham Boudaoui
DZA11: Ramiz Zerrouki
DZA12: Nabil Bentaleb
DZA14: Farés Chaibi
DZA15: Riyad Mahrez
DZA16: Said Benrahma
DZA17: Anis Hadj Moussa
DZA18: Amine Gouiri
DZA19: Baghdad Bounedjah
DZA20: Mohammed Amoura
AUT2: Alexander Schlager
AUT3: Patrick Pentz
AUT4: David Alaba
AUT5: Kevin Danso
AUT6: Philipp Lienhart
AUT7: Stefan Posch
AUT8: Phillipp Mwene
AUT9: Alexander Prass
AUT10: Xaver Schlager
AUT11: Marcel Sabitzer
AUT12: Konrad Laimer
AUT14: Florian Grillitsch
AUT15: Nicolas Seiwald
AUT16: Romano Schmid
AUT17: Patrick Wimmer
AUT18: Christoph Baumgartner
AUT19: Michael Gregoritsch
AUT20: Marko Arnautović
JOR2: Yazeed Abulaila
JOR3: Ihsan Haddad
JOR4: Mohammad Abu Hashish
JOR5: Yazan Al-Arab
JOR6: Abdallah Nasib
JOR7: Saleem Obaid
JOR8: Mohammad Abualnadi
JOR9: Ibrahim Saadeh
JOR10: Nizar Al-Rashdan
JOR11: Noor Al-Rawabdeh
JOR12: Mohannad Abu Taha
JOR14: Amer Jamous
JOR15: Musa Al-Taamari
JOR16: Yazan Al-Naimat
JOR17: Mahmoud Al-Mardi
JOR18: Ali Olwan
JOR19: Mohammad Abu Zrayq
JOR20: Ibrahim Sabra
POR2: Diogo Costa
POR3: Rui Silva
POR4: Nuno Mendes
POR5: Rúben Dias
POR6: Gonçalo Inácio
POR7: Renato Veiga
POR8: António Silva
POR9: João Neves
POR10: Vitinha
POR11: Bruno Fernandes
POR12: Bernardo Silva
POR14: João Palhinha
POR15: Francisco Conceição
POR16: Pedro Neto
POR17: Rafael Leão
POR18: Gonçalo Ramos
POR19: Diogo Jota
POR20: Cristiano Ronaldo
COD2: Lionel Mpasi
COD3: Dimitry Bertaud
COD4: Chancel Mbemba
COD5: Arthur Masuaku
COD6: Henock Inonga
COD7: Gédéon Kalulu
